Unnamed: 0,title,ingredients,directions,link,source,NER
0,Pickle Ice Cream,"['2 c. heavy cream', '1/2 c. pickle juice', '1/4 c. sugar', '2 tsp. vanilla']","['Whisk together cream, pickle juice, sugar, and vanilla.', 'Pour into an ice cream maker and churn until thick.', 'Freeze for 2 hours before serving.']",,Generated,"['cream', 'pickle juice', 'sugar', 'vanilla']"
1,Chocolate Bacon Pancakes,"['1 c. pancake mix', '1/2 c. chocolate chips', '1/4 c. crumbled bacon', '3/4 c. milk']","['Mix pancake batter with milk until smooth.', 'Stir in chocolate chips and crumbled bacon.', 'Cook pancakes on a griddle until golden.']",,Generated,"['pancake mix', 'chocolate chips', 'bacon', 'milk']"
2,Avocado Brownies,"['2 ripe avocados', '1/2 c. cocoa powder', '3/4 c. sugar', '1/4 c. almond flour']","['Blend avocados until smooth.', 'Mix in cocoa powder, sugar, and almond flour.', 'Bake at 180°C for 25 minutes.']",,Generated,"['avocados', 'cocoa powder', 'sugar', 'almond flour']"
3,Sushi Tacos,"['1 c. sushi rice', '4 sheets of nori', '1/2 c. diced salmon', '1/4 c. avocado']","['Cook and season sushi rice.', 'Shape nori sheets into taco shells.', 'Fill with rice, salmon, and avocado.']",,Generated,"['sushi rice', 'nori', 'salmon', 'avocado']"
4,Coconut Curry Pizza,"['1 pizza crust', '1/2 c. coconut milk', '1/4 c. curry paste', '1/2 c. diced chicken']","['Spread coconut milk and curry paste on pizza crust.', 'Top with diced chicken and bake at 200°C for 15 minutes.']",,Generated,"['pizza crust', 'coconut milk', 'curry paste', 'chicken']"
5,Sweet Potato Chocolate Pudding,"['1 large sweet potato', '1/2 c. cocoa powder', '1/4 c. maple syrup']","['Bake and mash the sweet potato.', 'Blend with cocoa powder and maple syrup until smooth.', 'Chill before serving.']",,Generated,"['sweet potato', 'cocoa powder', 'maple syrup']"
6,Blue Cheese Ice Cream,"['2 c. heavy cream', '1/2 c. crumbled blue cheese', '1/4 c. honey']","['Heat cream until steaming.', 'Stir in blue cheese and honey.', 'Churn in an ice cream maker and freeze.']",,Generated,"['cream', 'blue cheese', 'honey']"
7,Peanut Butter Kimchi Sandwich,"['2 slices of bread', '2 tbsp. peanut butter', '1/4 c. kimchi']","['Spread peanut butter on one slice of bread.', 'Top with kimchi and cover with the second slice.', 'Slice and serve.']",,Generated,"['bread', 'peanut butter', 'kimchi']"
8,Spaghetti Donuts,"['2 c. cooked spaghetti', '2 eggs', '1/2 c. grated cheese']","['Mix cooked spaghetti with eggs and cheese.', 'Pack into a donut mold and bake at 180°C for 20 minutes.', 'Cool before serving.']",,Generated,"['spaghetti', 'eggs', 'cheese']"
9,Matcha Popcorn,"['1/2 c. popcorn kernels', '2 tbsp. matcha powder', '1/4 c. white chocolate']","['Pop popcorn kernels.', 'Melt white chocolate and mix with matcha powder.', 'Drizzle over popcorn and let cool.']",,Generated,"['popcorn', 'matcha', 'white chocolate']"
