Unnamed: 0,title,ingredients,directions,link,source,NER
0,Pickle Ice Cream,"['480 ml heavy cream', '120 ml pickle juice', '60 g sugar', '10 ml vanilla']","['Whisk together cream, pickle juice, sugar, and vanilla.', 'Pour into an ice cream maker and churn until thick.', 'Freeze for 2 hours before serving.']",,Generated,"['cream', 'pickle juice', 'sugar', 'vanilla']"
1,Chocolate Bacon Pancakes,"['240 g pancake mix', '80 g chocolate chips', '60 g crumbled bacon', '180 ml milk']","['Mix pancake batter with milk until smooth.', 'Stir in chocolate chips and crumbled bacon.', 'Cook pancakes on a griddle until golden.']",,Generated,"['pancake mix', 'chocolate chips', 'bacon', 'milk']"
2,Avocado Brownies,"['2 ripe avocados', '50 g cocoa powder', '150 g sugar', '60 g almond flour']","['Blend avocados until smooth.', 'Mix in cocoa powder, sugar, and almond flour.', 'Bake at 180°C for 25 minutes.']",,Generated,"['avocados', 'cocoa powder', 'sugar', 'almond flour']"
3,Sushi Tacos,"['240 g sushi rice', '4 sheets of nori', '120 g diced salmon', '60 g avocado']","['Cook and season sushi rice.', 'Shape nori sheets into taco shells.', 'Fill with rice, salmon, and avocado.']",,Generated,"['sushi rice', 'nori', 'salmon', 'avocado']"
4,Coconut Curry Pizza,"['1 pizza crust', '120 ml coconut milk', '60 g curry paste', '120 g diced chicken']","['Spread coconut milk and curry paste on pizza crust.', 'Top with diced chicken and bake at 200°C for 15 minutes.']",,Generated,"['pizza crust', 'coconut milk', 'curry paste', 'chicken']"
5,Sweet Potato Chocolate Pudding,"['1 large sweet potato', '50 g cocoa powder', '60 ml maple syrup']","['Bake and mash the sweet potato.', 'Blend with cocoa powder and maple syrup until smooth.', 'Chill before serving.']",,Generated,"['sweet potato', 'cocoa powder', 'maple syrup']"
6,Blue Cheese Ice Cream,"['480 ml heavy cream', '120 g crumbled blue cheese', '60 ml honey']","['Heat cream until steaming.', 'Stir in blue cheese and honey.', 'Churn in an ice cream maker and freeze.']",,Generated,"['cream', 'blue cheese', 'honey']"
7,Peanut Butter Kimchi Sandwich,"['2 slices of bread', '30 g peanut butter', '60 g kimchi']","['Spread peanut butter on one slice of bread.', 'Top with kimchi and cover with the second slice.', 'Slice and serve.']",,Generated,"['bread', 'peanut butter', 'kimchi']"
8,Spaghetti Donuts,"['480 g cooked spaghetti', '2 eggs', '120 g grated cheese']","['Mix cooked spaghetti with eggs and cheese.', 'Pack into a donut mold and bake at 180°C for 20 minutes.', 'Cool before serving.']",,Generated,"['spaghetti', 'eggs', 'cheese']"
9,Matcha Popcorn,"['120 g popcorn kernels', '30 g matcha powder', '60 g white chocolate']","['Pop popcorn kernels.', 'Melt white chocolate and mix with matcha powder.', 'Drizzle over popcorn and let cool.']",,Generated,"['popcorn', 'matcha', 'white chocolate']"
10,Pumpkin Spice Pasta,"['450 g pasta', '120 ml pumpkin puree', '60 ml cream', '1 g nutmeg']","['Cook pasta according to package instructions.', 'Mix pumpkin puree, cream, and nutmeg in a pan and heat.', 'Toss pasta with the sauce and serve warm.']",,Generated,"['pasta', 'pumpkin puree', 'cream', 'nutmeg']"
11,Wasabi Mashed Potatoes,"['4 large potatoes', '60 ml milk', '15 g wasabi paste', '30 g butter']","['Boil and mash potatoes.', 'Mix in milk, wasabi paste, and butter until smooth.', 'Serve as a side dish.']",,Generated,"['potatoes', 'milk', 'wasabi paste', 'butter']"
