title,ingredients,directions,link,source,NER
Spaghetti z zupą pomidorową i pieczarkową,"['450 g mielonej wołowiny', '1 cebula, posiekana', '3 puszki skondensowanej zupy pomidorowej', '2 puszki skondensowanej zupy pieczarkowej', 'Sól i pieprz do smaku', 'Czosnek do smaku', 'Odrobina chili w proszku', 'Makaron spaghetti']","['Podsmaż mieloną wołowinę z posiekaną cebulą, aż mięso będzie dobrze ugotowane.', 'Dodaj zupy pomidorowe i pieczarkowe do mięsa.', 'Dopraw solą, pieprzem, czosnkiem i chili według uznania.', 'Gotuj na małym ogniu przez kilka minut, mieszając od czasu do czasu.', 'Ugotuj makaron zgodnie z instrukcją na opakowaniu.', 'Podawaj sos na gorąco z makaronem.']",,Unknown,
Kanapka z masłem orzechowym i majonezem,"['Chleb tostowy', 'Masło orzechowe', 'Majonez']","['Posmaruj jedną kromkę chleba masłem orzechowym.', 'Drugą kromkę posmaruj majonezem.', 'Złóż kromki razem, tworząc kanapkę.']",,Unknown,
Sałatka z galaretką i warzywami,"['1 opakowanie galaretki cytrynowej', '1 szklanka wrzącej wody', '1 szklanka zimnej wody', '1 szklanka drobno posiekanej marchewki', '1 szklanka drobno posiekanego selera', '1 szklanka drobno posiekanej czerwonej papryki']","['Rozpuść galaretkę w 1 szklance wrzącej wody, dokładnie mieszając.', 'Dodaj 1 szklankę zimnej wody i wymieszaj.', 'Włóż do lodówki na około 1 godzinę, aż zacznie tężeć.', 'Dodaj posiekane warzywa do lekko stężałej galaretki i delikatnie wymieszaj.', 'Przełóż mieszankę do formy i schładzaj w lodówce, aż całkowicie stężeje.', 'Przed podaniem pokrój w plastry.']",,Unknown,
Lody waniliowe z oliwą z oliwek i solą morską,"['Lody waniliowe', 'Dobrej jakości oliwa z oliwek', 'Sól morska']","['Nałóż porcję lodów waniliowych do miseczki.', 'Skrop lody niewielką ilością oliwy z oliwek.', 'Posyp szczyptą soli morskiej.', 'Podawaj od razu.']",,Unknown,
Kanapka z chipsami ziemniaczanymi i majonezem,"['Chleb tostowy', 'Majonez', 'Ulubione chipsy ziemniaczane']","['Posmaruj dwie kromki chleba majonezem.', 'Na jednej z kromek ułóż warstwę chipsów ziemniaczanych.', 'Przykryj drugą kromką chleba, tworząc kanapkę.']",,Unknown,
Pizza z ananasem i jalapeño,"['Ciasto na pizzę', 'Sos pomidorowy', 'Ser mozzarella', 'Kawałki ananasa', 'Plastry jalapeño']","['Rozwałkuj ciasto na pizzę i posmaruj sosem pomidorowym.', 'Posyp równomiernie serem mozzarella.', 'Dodaj kawałki ananasa i plastry jalapeño.', 'Piecz w nagrzanym piekarniku zgodnie z instrukcją dla ciasta, aż ser się roztopi, a brzegi będą złociste.']",,Unknown,
Sałatka z arbuzem i serem feta,"['Kawałki arbuza', 'Ser feta, pokruszony', 'Świeża mięta, posiekana', 'Oliwa z oliwek', 'Sól i pieprz do smaku']","['W misce wymieszaj kawałki arbuza z serem feta i posiekaną miętą.', 'Skrop oliwą z oliwek i dopraw solą oraz pieprzem.']",,Unknown,
Grzanki z awokado i dżemem truskawkowym,"['Chleb pełnoziarnisty', 'Dojrzałe awokado', 'Dżem truskawkowy']","['Podpiecz kromki chleba na złocisty kolor.', 'Rozgnieć awokado i posmaruj grzanki.', 'Nałóż cienką warstwę dżemu truskawkowego na awokado.', 'Podawaj od razu jako szybkie śniadanie lub przekąskę.']",,Unknown,
Kanapka z bananem i chipsami ziemniaczanymi,"['2 kromki chleba tostowego', 'Masło orzechowe', '1 banan, pokrojony w plastry', 'Chipsy ziemniaczane']","['Posmaruj kromki chleba masłem orzechowym.', 'Na jednej kromce ułóż plastry banana.', 'Nałóż warstwę chipsów ziemniaczanych na banany.', 'Przykryj drugą kromką chleba, tworząc kanapkę.']",,Unknown,
Pieczony kurczak z Coca-Colą i ketchupem,"['1 kg udek kurczaka', '1 puszka Coca-Coli', '1/2 szklanki ketchupu', 'Sól, pieprz i ulubione przyprawy do smaku']","['Dopraw kurczaka solą, pieprzem i przyprawami.', 'Wymieszaj Coca-Colę z ketchupem, tworząc marynatę.', 'Włóż kurczaka do naczynia żaroodpornego i zalej marynatą.', 'Piecz w temperaturze 180°C przez około 1 godzinę, polewając kurczaka marynatą co 15 minut.']",,Unknown,
